collocs	anggon
mukur	1
mulpulang	1
munduhang	1
murid	1
musuhé	1
nafsu-né	1
nanceb	1
nanjung	1
natah	1
natakin	1
naur	1
nawang	1
naya-naya	1
nayain	1
ne	1
nebus	1
negakang	1
negakin	1
negepin	1
nekaang	1
nekang	1
nénénan	1
ngaben	1
ngabén	1
ngadang	1
ngadayang	1
ngae	1
ngajak	1
ngajum	1
ngaku-ngaku	1
ngalahang	1
ngalahin	1
ngalangin	1
ngalemesin	1
ngambel	1
ngancan	1
ngandelang	1
ngangetin	1
nganggur	1
ngangkut	1
ngantosan	1
ngaruruh	1
ngasorang	1
ngastitiang	1
ngatelun	1
ngaturang	1
ngebekin	1
ngebor	1
ngedéang	1
ngédéngang	1
ngelidin	1
ngelukat	1
ngemang	1
ngemel	1
ngendepang	1
ngendih	1
ngengkebang	1
ngentugin	1
ngentungin	1
ngetelin	1
ngetisang	1
ngilangan	1
ngimbuh-imbuhin	1
nginem	1
ngintip	1
ngirimin	1
ngiring	1
nglangked	1
nglanturang	1
nglaporang	1
nglawan	1
nglekas	1
ngliunan	1
ngobyék	1
ngolésin	1
ngomong	1
ngorahin	1
ngorat-ngorét	1
ngorta	1
ngotékang	1
ngoyong	1
ngrédit	1
ngruak	1
ngukur	1
ngulangunin	1
ngulungang	1
ngulurang	1
ngulurin	1
ngundang-ngundang	1
ngunggahang	1
ngupahang	1
ngupapira	1
nguripin	1
ngurusang	1
ngwales	1
ngwangun	1
nika	1
nilai	1
nilep	1
nimpugin	1
nindihin	1
ning	1
nira	1
nomer	1
nudag	1
nulungin	1
numpahang	1
nungkulag	1
nyadia	1
nyak	1
nyaluk	1
nyambung	1
nyantokang	1
nyapu	1
nyaratang	1
nyaruang	1
nyekaang	1
nyekenang	1
nyemak	1
nyén	1
nyerahang	1
nyetok	1
nyilcil	1
nylimurang	1
nyomia	1
nyugihang	1
nyujur	1
ogoh-ogoh	1
ongkos	1
orahang	1
orahanga	1
orahin	1
orang	1
oranhanga	1
orta	1
ortan	1
padahal	1
padidiané	1
padidiné	1
padiksaan	1
paek	1
paes	1
pagalang	1
paksa	1
palaksana	1
palalian	1
palguna	1
paling	1
pamatut	1
pamerintahé	1
panak-panak	1
panaké	1
panawangé	1
pancer	1
pancing	1
pangaptian	1
pangawit	1
pangimbuh	1
pangimpas-ngimpas	1
panginget-inget	1
pangisian	1
pangrasa	1
paning-galane	1
panji	1
pantes	1
pantingan	1
paon	1
parisadha	1
pariwisata	1
parkir	1
pasang	1
pasar	1
pasuécan	1
pasuh	1
patakoné	1
patuh	1
patujuh	1
paturunan	1
payuk	1
pecalang	1
pecel	1
pedas	1
pedidi	1
pejabat	1
pekaké	1
peluh	1
peluhé	1
penampad	1
penawar	1
peneduh	1
pengetahuan	1
pengukuhan	1
pénjor	1
penudané	1
persahabatan	1
pertandingan	1
pertanian	1
pesalin	1
pesu	1
pesuang	1
petakon	1
petang	1
peteng	1
pianaké	1
pidan	1
piduka	1
pikirang	1
pindang	1
pinehin	1
ping	1
pinih	1
pipisné	1
piring	1
pkb	1
plalian	1
pok	1
politik	1
polo	1
pragat-pragat	1
prajuru	1
préman	1
présidén	1
prosés	1
psthb	1
puloné	1
pulung	1
punyané	1
pupuk	1
pura	1
purnama	1
putihé	1
rabi	1
rabuk	1
raga	1
rahinane	1
raksasa	1
raosang	1
raosné	1
raré	1
rasaanga	1
renang	1
reramané	1
rik	1
rodi	1
roko	1
rokok	1
royong	1
rumus	1
sabatah	1
sabun	1
sadia	1
sajané	1
sakaya	1
sakayan	1
salep	1
saling	1
sambilanga	1
sambuk	1
sameton	1
sampiné	1
sampun	1
sandale	1
sané	1
sang	1
sanget	1
sanggar	1
sanghyang	1
sangut	1
sapunika	1
sarana	1
sarané	1
sarin	1
sastra	1
satak	1
satmaka	1
satua	1
sawai-wai	1
sawiréh	1
sedeng	1
segara	1
seger	1
sekaa	1
sekayané	1
sekolahané	1
selaé	1
selegenti	1
seluruh	1
sengguhanga	1
sengker	1
sertifikasi	1
sertifikatné	1
sesari	1
sesuhunan	1
sesuluh	1
sesuratane	1
sèwan	1
siaran	1
sida	1
siduri	1
sikutné	1
silih	1
simbol	1
sirah	1
sirahé	1
soe	1
somah	1
spp	1
stratégi	1
sudamala-né	1
sugih	1
sujatiné	1
sujatinné	1
sukil	1
sunari	1
surtine	1
suun	1
tabung	1
tabungané	1
tagihin	1
tagihina	1
taline	1
tampah	1
tanggap	1
tatu	1
teba	1
tegak	1
tegakina	1
tegal	1
tegep	1
tekén	1
tekénan	1
tekéning	1
telahang	1
telas	1
telpunan	1
ténénan	1
tengawan	1
tentara-né	1
tepungé	1
tiange	1
tidong	1
tipat	1
tipiné	1
tirtha	1
titi	1
tiuk	1
tour	1
tower	1
toya	1
toyané	1
tresna	1
tresnan	1
tril	1
tsunami	1
tulih	1
tulisan	1
tunangan	1
tungked	1
tungkedé	1
ubad	1
ubadné	1
uger-uger	1
ulam	1
uleng	1
ulengang	1
uli	1
ulun	1
urip	1
uripe	1
urusan	1
usak	1
utama	1
utangné	1
uyah	1
van	1
wa	1
wadah	1
wakil	1
wané	1
wantah	1
waris	1
warisan	1
wayah	1
wayan	1
wesi	1
widhi	1
widi	1
wijaya	1
wiréh	1
wortel	1
yadnya	1
yanti	1
yuta	1
