collocs	anggen
system	1
tabe	1
tabia	1
tabiané	1
tahun	1
takonang	1
taksu	1
taman	1
taméng	1
tanahé	1
tanahne	1
tandados	1
tasik	1
tata	1
tatas	1
tatiga	1
tatklaning	1
tattwa	1
tatuladan	1
tebané	1
tebén	1
tekekang	1
teknologi	1
telebang	1
ten	1
tendasné	1
tetambanan	1
teteken	1
tetimbang	1
tetujoné	1
tiliaceus	1
timbangan	1
tindih	1
tingkat	1
tirta	1
toko	1
tokoh	1
tongos	1
toris	1
tri	1
tuah	1
tulad	1
tulah-tulah	1
tumbuh	1
tumuwuhé	1
tuntunan	1
turin	1
tusthi	1
ucap	1
ucapné	1
udarané	1
ugama	1
uji	1
ujian	1
uli	1
un	1
undang-undang	1
unduké	1
uning	1
unteng	1
untung	1
upacarané	1
upas	1
upaya	1
uripné	1
uripnyané	1
utamané	1
utaminé	1
utaminné	1
utang	1
utwai	1
uu	1
vitamin	1
wakulan	1
wanén	1
wangsa	1
wantuan	1
warisan	1
warsa	1
waru	1
wasiat	1
watek	1
wau	1
wédangé	1
wetengnyané	1
wicara	1
widang	1
wikan	1
wiwékan	1
wiwékané	1
wong	1
wuku	1
ya	1
yakti	1
yang	1
yasannyané	1
yayasane	1
yén	1
yening	1
yth	1
